,type,run_mems,baselines,encoding
483,mde,3202.28125,3193.3828125,yes
484,mde,3202.28125,3193.3828125,yes
485,mde,3202.28125,3193.3828125,yes
486,mde,3202.28125,3193.3828125,yes
487,mde,3202.28125,3193.3828125,yes
488,mde,3202.28125,3193.3828125,yes
489,mde,3202.28125,3193.3828125,yes
490,mde,3202.28125,3193.3828125,yes
491,mde,3202.28125,3193.3828125,yes
492,mde,3202.28125,3193.3828125,yes
493,mde,3202.28125,3193.3828125,yes
494,mde,3202.28125,3193.3828125,yes
495,mde,3202.28125,3193.3828125,yes
496,mde,3202.28125,3193.3828125,yes
497,mde,3202.28125,3193.3828125,yes
498,mde,3202.28125,3193.3828125,yes
499,mde,3202.28125,3193.3828125,yes
500,mde,3211.34765625,3202.28125,no
501,mde,3211.3515625,3202.28125,no
502,mde,3211.35546875,3202.28125,no
503,mde,3211.35546875,3202.28125,no
504,mde,3211.35546875,3202.28125,no
505,mde,3211.35546875,3202.28125,no
506,mde,3211.35546875,3202.28125,no
507,mde,3211.35546875,3202.28125,no
508,mde,3211.35546875,3202.28125,no
509,mde,3211.35546875,3202.28125,no
510,mde,3211.35546875,3202.28125,no
511,mde,3211.36328125,3202.28125,no
512,mde,3211.36328125,3202.28125,no
513,mde,3211.36328125,3202.28125,no
514,mde,3211.36328125,3202.28125,no
515,mde,3211.36328125,3202.28125,no
516,mde,3211.36328125,3202.28125,no
517,mde,3211.36328125,3202.28125,no
518,mde,3211.36328125,3202.28125,no
519,mde,3211.36328125,3202.28125,no
520,mde,3211.36328125,3202.28125,no
521,mde,3211.36328125,3202.28125,no
522,mde,3211.36328125,3202.28125,no
523,mde,3211.36328125,3202.28125,no
524,mde,3211.36328125,3202.28125,no
525,mde,3211.36328125,3202.28125,no
526,mde,3211.36328125,3202.28125,no
527,mde,3211.36328125,3202.28125,no
528,mde,3211.36328125,3202.28125,no
529,mde,3211.36328125,3202.28125,no
530,mde,3211.36328125,3202.28125,no
531,mde,3211.36328125,3202.28125,no
532,mde,3211.36328125,3202.28125,no
533,mde,3211.36328125,3202.28125,no
534,mde,3211.36328125,3202.28125,no
535,mde,3211.36328125,3202.28125,no
536,mde,3211.36328125,3202.28125,no
537,mde,3211.36328125,3202.28125,no
538,mde,3211.36328125,3202.28125,no
539,mde,3211.36328125,3202.28125,no
540,mde,3211.36328125,3202.28125,no
541,mde,3211.36328125,3202.28125,no
542,mde,3211.36328125,3202.28125,no
543,mde,3211.36328125,3202.28125,no
544,mde,3211.36328125,3202.28125,no
545,mde,3211.36328125,3202.28125,no
546,mde,3211.36328125,3202.28125,no
547,mde,3211.36328125,3202.28125,no
548,mde,3211.36328125,3202.28125,no
549,mde,3211.36328125,3202.28125,no
550,mde,3211.36328125,3202.28125,no
551,mde,3211.36328125,3202.28125,no
552,mde,3211.36328125,3202.28125,no
553,mde,3211.36328125,3202.28125,no
554,mde,3211.36328125,3202.28125,no
555,mde,3211.36328125,3202.28125,no
556,mde,3211.36328125,3202.28125,no
557,mde,3211.36328125,3202.28125,no
558,mde,3211.36328125,3202.28125,no
559,mde,3211.36328125,3202.28125,no
560,mde,3211.36328125,3202.28125,no
561,mde,3211.36328125,3202.28125,no
562,mde,3211.36328125,3202.28125,no
563,mde,3211.36328125,3202.28125,no
