,type,run_times,encoding
277,umap,7.718495300010545,yes
278,umap,7.595178299990948,yes
279,umap,7.546951700001955,yes
280,umap,7.548156100005144,yes
281,umap,7.477992700005416,yes
282,umap,7.665382800012594,yes
283,umap,7.5376173999975435,yes
284,umap,7.687050999986241,yes
285,umap,7.479296900011832,yes
286,umap,7.7109278999851085,yes
287,umap,7.4253490999981295,yes
288,umap,7.715347699995618,yes
289,umap,7.406238800002029,yes
290,umap,7.727458499983186,yes
291,umap,7.371729500009678,yes
292,umap,7.850877299992135,yes
293,umap,7.475706500001252,yes
294,umap,7.87025220002397,yes
295,umap,7.344241999991937,yes
296,umap,7.846527099987725,yes
297,umap,7.416096100001596,yes
298,umap,7.7426352000038605,yes
299,umap,7.370821399992565,yes
300,umap,10.412061200011522,no
301,umap,10.432558300002711,no
302,umap,10.33394679997582,no
303,umap,10.14846279998892,no
304,umap,10.255196299985982,no
305,umap,10.192177700024331,no
306,umap,10.417071500007296,no
307,umap,10.186648899980355,no
308,umap,10.395296300004702,no
309,umap,10.240178299980471,no
310,umap,10.479391600005329,no
311,umap,10.223420299997088,no
312,umap,10.495443599997088,no
313,umap,10.142303400003584,no
314,umap,10.387048800010234,no
315,umap,10.16907989999163,no
316,umap,10.263434799999231,no
317,umap,10.061903999972856,no
318,umap,10.556355400010943,no
319,umap,10.096344699995825,no
320,umap,10.393300399999134,no
321,umap,10.151658900023904,no
322,umap,10.50297010000213,no
323,umap,10.189546500012511,no
324,umap,10.550982699991437,no
325,umap,10.108106100000441,no
326,umap,10.41024950001156,no
327,umap,10.128705999988597,no
328,umap,10.498628900008043,no
329,umap,10.132860299985623,no
330,umap,10.316344999999274,no
331,umap,10.060572799993679,no
332,umap,10.351436400000239,no
333,umap,10.030527099996107,no
334,umap,10.245404799992684,no
335,umap,10.04152269999031,no
336,umap,10.392052999988664,no
337,umap,10.136830800009193,no
338,umap,10.519479000009596,no
339,umap,10.178937000018777,no
340,umap,10.434386199980509,no
341,umap,10.247576499998104,no
342,umap,10.650078000006033,no
343,umap,10.119378800009144,no
344,umap,10.390384500002256,no
345,umap,9.995792400004575,no
346,umap,10.33840209999471,no
347,umap,9.956138200010173,no
348,umap,10.355910099984612,no
349,umap,11.184578999993391,no
350,umap,10.932901899999706,no
351,umap,10.12425809999695,no
352,umap,10.484756699996069,no
353,umap,10.22356640000362,no
354,umap,10.472602000023471,no
355,umap,10.297135799977696,no
356,umap,10.388050000008661,no
357,umap,10.164084200019715,no
358,umap,10.41792069998337,no
359,umap,10.265794900013134,no
360,umap,10.624377800006187,no
361,umap,10.086341699992772,no
362,umap,10.404856899986044,no
363,umap,10.154872799990699,no
364,umap,10.390417799993884,no
365,umap,10.20567129997653,no
366,umap,10.5283977999934,no
367,umap,10.158693499979563,no
368,umap,10.52816059999168,no
369,umap,10.23544089999632,no
370,umap,10.489367500005756,no
371,umap,10.083896600001026,no
372,umap,10.357651999976952,no
373,umap,10.124486099986825,no
374,umap,10.28984810001566,no
375,umap,10.015757199988002,no
376,umap,10.42784789999132,no
377,umap,10.168186200025957,no
378,umap,10.450827100023162,no
379,umap,10.143159400002332,no
380,umap,10.411939899990102,no
381,umap,10.283104000001913,no
382,umap,10.520349099999294,no
383,umap,10.227427299978444,no
384,umap,10.48650450000423,no
